File Name,size,conv_time,cov_time,h2dtime,d2htime,Total time,convolution_flops,convolution_bytes,covariance_flops,covariance_bytes,htod_bytes,dtoh_bytes
./600x600_cat.pgm,600,0.0012140,0.0015310,0.0027080,0.0028840,0.0377310,2160000,1440000,105840000,720000,8640048,10080000
./800x800_cat.pgm,800,0.0015540,0.0026450,0.0043710,0.0047710,0.0725590,3840000,2560000,188160000,1280000,15360048,17920000
./1000x1000_cat.pgm,1000,0.0023310,0.0056980,0.0062630,0.0071600,0.1112800,6000000,4000000,294000000,2000000,24000048,28000000
./1400x1400_cat.pgm,1400,0.0035460,0.0110070,0.0117710,0.0138800,0.1920390,11760000,7840000,576240000,3920000,47040048,54880000
./1600x1600_cat.pgm,1600,0.0042570,0.0143170,0.0150170,0.0176680,0.2390590,15360000,10240000,752640000,5120000,61440048,71680000
./1800x1800_cat.pgm,1800,0.0051130,0.0180300,0.0187120,0.0214780,0.2841510,19440000,12960000,952560000,6480000,77760048,90720000
./2200x2200_cat.pgm,2200,0.0070910,0.0268310,0.0276560,0.0334160,0.3987210,29040000,19360000,1422960000,9680000,116160048,135520000
./2400x2400_cat.pgm,2400,0.0081690,0.0318720,0.0328710,0.0410300,0.4776270,34560000,23040000,1693440000,11520000,138240048,161280000
./2600x2600_cat.pgm,2600,0.0094600,0.0373670,0.0382130,0.0472030,0.5515510,40560000,27040000,1987440000,13520000,162240048,189280000
./2800x2800_cat.pgm,2800,0.0106550,0.0433080,0.0436420,0.0525050,0.6195150,47040000,31360000,2304960000,15680000,188160048,219520000
./3000x3000_cat.pgm,3000,0.0103900,0.0421390,0.0509800,0.0614190,0.7802660,54000000,36000000,2646000000,18000000,216000048,252000000
./3400x3400_cat.pgm,3400,0.0124570,0.0513780,0.0644110,0.0791770,0.9792080,69360000,46240000,3398640000,23120000,277440048,323680000
./3600x3600_cat.pgm,3600,0.0125580,0.0519090,0.0723100,0.0878790,1.1001510,77760000,51840000,3810240000,25920000,311040048,362880000
./3800x3800_cat.pgm,3800,0.0131450,0.0550450,0.0798830,0.0996780,1.2130420,86640000,57760000,4245360000,28880000,346560048,404320000
./4200x4200_cat.pgm,4200,0.0158310,0.0674050,0.0972780,0.1194480,1.4763800,105840000,70560000,5186160000,35280000,423360048,493920000
./4600x4600_cat.pgm,4600,0.0187890,0.0807150,0.1168220,0.1449280,1.7332150,126960000,84640000,6221040000,42320000,507840048,592480000
./5000x5000_cat.pgm,5000,0.0220270,0.0951100,0.1400510,0.1852760,2.0925430,150000000,100000000,7350000000,50000000,600000048,700000000
./5400x5400_cat.pgm,5400,0.0257010,0.1112940,0.1596000,0.2006930,2.3931520,174960000,116640000,8573040000,58320000,699840048,816480000
./5800x5800_cat.pgm,5800,0.0294420,0.1284120,0.1864680,0.2311600,2.7512570,201840000,134560000,9890160000,67280000,807360048,941920000
./6200x6200_cat.pgm,6200,0.0333920,0.1464540,0.2126780,0.2628670,3.1154190,230640000,153760000,11301360000,76880000,922560048,1076320000
./6600x6600_cat.pgm,6600,0.0374820,0.1654180,0.2441020,0.2781950,3.5119750,261360000,174240000,12806640000,87120000,1045440048,1219680000
./7000x7000_cat.pgm,7000,0.0425990,0.1860520,0.2659040,0.3312850,3.9606230,294000000,196000000,14406000000,98000000,1176000048,1372000000
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

